# GoldMarket seed ranges (base-stage goldens only)
# Fill seed_range with values like 950kx-1.3mx
asset_key,seed_range
"GoldenAbra|?",200-300k
"GoldenAbra|F",15k
"GoldenAbra|M",10k
"GoldenAbsol|?",6mx-7mx
"GoldenAbsol|F",6mx-7mx
"GoldenAbsol|M",6mx-7mx
"GoldenAerodactyl|?",40-50k
"GoldenAerodactyl|F",20k
"GoldenAerodactyl|M",15k
"GoldenArchen|F",10k
"GoldenArchen|M",10k
"GoldenAron|?",80k
"GoldenAron|F",5k
"GoldenAron|M",3k
"GoldenArticuno|?",120-200k
"GoldenArticuno|G",20k
"GoldenAxew|F",20-25k
"GoldenAxew|M",20-25k
"GoldenBagon|?",250-400k
"GoldenBagon|F",10k
"GoldenBagon|M",10k
"GoldenBeldum|?",300-450k
"GoldenBeldum|G",20k
"GoldenBidoof|F",15k
"GoldenBidoof|M",15k
"GoldenBlitzle|F",10k
"GoldenBlitzle|M",10k
"GoldenBulbasaur|?",60k
"GoldenBulbasaur|F",15k
"GoldenBulbasaur|G",1mx-2mx
"GoldenBulbasaur|M",10k
"GoldenBuneary|M",4mx-7mx
"GoldenBunnelby|F",500k-750k
"GoldenBunnelby|M",500k-750k
"GoldenCacnea|?",20k
"GoldenCacnea|F",1kx
"GoldenCacnea|M",1kx
"GoldenCaterpie|?",60-80k
"GoldenCaterpie|F",20-30k
"GoldenCaterpie|M",20-30k
"GoldenChansey|F",30-40k
"GoldenChansey|G",2-4mx
"GoldenCharmander|?",120k
"GoldenCharmander|F",250k
"GoldenCharmander|G",3mx-4mx
"GoldenCharmander|M",100k
"GoldenChatot|F",6-7mx
"GoldenCherubi|F",40-60k
"GoldenCherubi|M",40-60k
"GoldenChespin|F",10k
"GoldenChespin|M",5k
"GoldenChimchar|F",3kx
"GoldenChimchar|M",3kx
"GoldenComfey|F",350-450k
"GoldenComfey|M",350-450k
"GoldenCranidos|F",3k
"GoldenCranidos|M",2k
"GoldenCryogonal|G",5k
"GoldenCubone|?",40k
"GoldenCubone|F",2k
"GoldenCubone|M",2k
"GoldenDeerling (Autumn)|F",750k
"GoldenDeerling (Autumn)|M",750k
"GoldenDeerling (Spring)|F",750k
"GoldenDeerling (Spring)|M",750k
"GoldenDeerling (Summer)|F",750k
"GoldenDeerling (Winter)|F",750k
"GoldenDeino|F",15-20k
"GoldenDeino|M",15-20k
"GoldenDelibird|?",40k
"GoldenDelibird|F",150-300k
"GoldenDelibird|M",150-300k
"GoldenDeoxys (Attack)|G",1mx-2mx
"GoldenDeoxys (Speed)|G",1mx-2mx
"GoldenDeoxys|G",1mx-2mx
"GoldenDhelmise|G",10kx
"GoldenDiancie|G",30-35k
"GoldenDratini|?",8-15k
"GoldenDratini|F",2-3k
"GoldenDratini|M",2-3k
"GoldenDucklett|F",400-450k
"GoldenDucklett|M",400-450k
"GoldenDuskull|F",750k
"GoldenDuskull|M",750k
"GoldenEevee|?",500k
"GoldenEevee|F",450-500k
"GoldenEevee|G",7-15mx
"GoldenEevee|M",400k
"GoldenEkans|?",40-60k
"GoldenEkans|F",30-40k
"GoldenEkans|M",30-40k
"GoldenElectrike|?",2.5mx-3.5mx
"GoldenElectrike|F",40k
"GoldenElectrike|M",40k
"GoldenEspurr|F",20-40k
"GoldenEspurr|M",20-40k
"GoldenExeggcute|F",400-450k
"GoldenExeggcute|M",400-450k
"GoldenFarfetchd|?",20k
"GoldenFarfetchd|F",60-80k
"GoldenFarfetchd|G",1-2mx
"GoldenFarfetchd|M",60-80k
"GoldenFeebas|?",400-500k
"GoldenFeebas|F",150k
"GoldenFeebas|M",150k
"GoldenFennekin|F",20k
"GoldenFennekin|M",10k
"GoldenFletchling|F",10k
"GoldenFletchling|M",10k
"GoldenFroakie|F",10-15k
"GoldenFroakie|M",5-10k
"GoldenGastly|?",40-60k
"GoldenGastly|F",8-10k
"GoldenGastly|M",8-10k
"GoldenGenesect|G",60k
"GoldenGeodude|?",60-100k
"GoldenGeodude|F",3k
"GoldenGeodude|M",2k
"GoldenGible|F",10-15k
"GoldenGible|M",10-15k
"GoldenGrowlithe|?",200-300k
"GoldenGrowlithe|F",15-20k
"GoldenGrowlithe|M",15-20k
"GoldenHappiny|F",300-400k
"GoldenHeatmor|F",400-600k
"GoldenHeatmor|M",400-600k
"GoldenHeracross|?",1.8mx-2mx
"GoldenHeracross|F",2mx-2.5mx
"GoldenHeracross|M",2mx-2.5mx
"GoldenHo-Oh|G",3-6mx
"GoldenHonedge|F",100-120k
